AWT,ATAT,Response Time,Bounded Slowdown,Max Bounded Slowdown,WT Variance,WT CV,MWT,Throughput,CPU Utilization (%),Makespan,Average Queue Length,Idle Time,JFI,Gini (WT),Starvation Count,Starvation Rate (%),Preemption Frequency,Task Switching Eff (%),Priority Inversion Potential,Fairness Bias (Corr),JFI First Half,JFI Second Half,Throughput to Gini,NTT,WT P90,WT P95,WT P99,RT P90,RT P95,RT P99,Load Imbalance Factor,Convoy Effect,Avg Response Ratio,Max Response Ratio,Scheduling Overhead (%),Weighted TAT,Avg JFI Per Priority,Min JFI Per Priority,Time-Weighted Queue Depth,Predictability CV,Avg Stretch,Max Stretch,Service Time Mean,Service Time Median,Service Time Std,Service Time CV,Arrival Rate,Inter-Arrival Mean,Inter-Arrival CV,Small Jobs Avg WT,Large Jobs Avg WT,Size Fairness Ratio,Algorithm,Dataset
727278.675,734431.02,727278.675,1342.1191930737912,13826.883720930233,149173800558.09988,0.5310622409430737,1255448.0,0.00013981428468565205,100.0,1430469.0,101.68394771225381,0.0,0.7808736138932415,0.30049849636385945,196,98.0,1.0,99.9986018767009,0,-0.1137001308390878,0.7808736138932415,1.0,0.0004652744901470573,1342.1191930737912,1191519.5,1192713.7,1239040.6199999999,1191519.5,1192713.7,1239040.6199999999,3.362902011246897e-14,0.0,1342.1191930737912,13826.883720930233,0.0013981428468565205,731026.148409894,0.888630054055904,0.7772634552152775,101.68394771225381,1.8480151784867664,1342.1191930737912,13826.883720930233,7152.345,6215.0,8152.765222292625,1.1398730377649045,0.00013981428468565205,837.8592964824121,1.997553226097475,881733.303030303,650258.2878787878,1.3559739559900288,FCFS,Real ANL Intrepid
733851.04,741003.385,733851.04,1382.6940767532956,13820.488372093023,154047772058.87277,0.5348349713129917,1352556.0,0.00013981428468565205,100.0,1430469.0,102.60285822342183,0.0,0.7784414051174958,0.30317513953512965,196,98.0,1.0,99.9986018767009,0,-0.17337323345837805,0.7784414051174958,1.0,0.00046116672000228907,1382.6940767532956,1191133.8,1205847.65,1300723.7899999996,1191133.8,1205847.65,1300723.7899999996,3.362902011246897e-14,0.0,1382.6940767532956,13820.488372093023,0.0013981428468565205,735691.1019687026,0.8886731021983247,0.7773463322737975,102.60285822342183,1.8567590513838088,1382.6940767532956,13820.488372093023,7152.345,6215.0,8152.765222292625,1.1398730377649045,0.00013981428468565205,837.8592964824121,1.997553226097475,902039.2878787878,650125.3333333334,1.3874852149720687,Priority,Real ANL Intrepid
665294.88,672447.225,244314.1,496.16961229203184,4771.186046511628,144648010213.49307,0.5716655886921188,1350658.0,0.00013981428468565205,100.0,1430469.0,93.01772775222672,0.0,0.7546215641797743,0.3233912314190664,200,100.0,2.775,99.99612030412621,0,0.09266191283355849,0.7546215641797743,1.0,0.00043233789633731213,496.16961229203184,1092739.5,1143226.3499999999,1330055.5499999998,419180.3,424391.7,445256.74999999994,3429.5601836474243,6439793.805555556,496.16961229203184,4771.186046511628,0.0038798464000268443,675298.7380111055,0.8788917178328097,0.757814010693396,34.15860113011886,1.6484042085114377,496.16961229203184,4771.186046511628,7152.345,6215.0,8152.765222292625,1.1398730377649045,0.00013981428468565205,837.8592964824121,1.997553226097475,296658.45454545453,1102705.8636363635,0.26902772926877516,Round Robin,Real ANL Intrepid
274498.025,281650.37,274498.025,25.383259170616107,80.05752172744377,124964979912.49686,1.2878193248978158,1354713.0,0.00013981428468565205,100.0,1430469.0,38.37874501299923,0.0,0.37733197473446534,0.6599740795038507,106,53.0,1.0,99.9986018767009,0,0.09354057913992087,0.37733197473446534,1.0,0.0002118481452949794,25.383259170616107,842012.6,956486.8499999994,1223358.9499999997,842012.6,956486.8499999994,1223358.9499999997,3.362902011246897e-14,0.0,25.383259170616107,80.05752172744377,0.0013981428468565205,284329.99040888436,0.5457418321395018,0.3849628017332501,38.37874501299923,0.9073092390434181,25.383259170616107,80.05752172744377,7152.345,6215.0,8152.765222292625,1.1398730377649045,0.00013981428468565205,837.8592964824121,1.997553226097475,1566.4848484848485,722331.0151515151,0.0021686523430760685,SJF,Real ANL Intrepid
733851.04,741003.385,733851.04,1382.6940767532956,13820.488372093023,154047772058.87277,0.5348349713129917,1352556.0,0.00013981428468565205,100.0,1430469.0,102.60285822342183,0.0,0.7784414051174958,0.30317513953512965,196,98.0,1.0,99.9986018767009,0,-0.17337323345837805,0.7784414051174958,1.0,0.00046116672000228907,1382.6940767532956,1191133.8,1205847.65,1300723.7899999996,1191133.8,1205847.65,1300723.7899999996,3.362902011246897e-14,0.0,1382.6940767532956,13820.488372093023,0.0013981428468565205,735691.1019687026,0.8886731021983247,0.7773463322737975,102.60285822342183,1.8567590513838088,1382.6940767532956,13820.488372093023,7152.345,6215.0,8152.765222292625,1.1398730377649045,0.00013981428468565205,837.8592964824121,1.997553226097475,902039.2878787878,650125.3333333334,1.3874852149720687,Priority (Aging),Real ANL Intrepid
1064958.605,1076720.085,1064958.605,5179.912026138069,68615.0625,746318569215.1848,0.8112027171662602,2294833.0,8.499881426654098e-05,99.97118540196365,2352974.0,90.52021866794958,678.0,0.6043173887893815,0.45249843483353047,189,94.5,1.0,99.99914977409497,0,0.0,0.6043173887893815,1.0,0.00018784333319917708,5179.912026138069,2205415.9,2260045.7,2294427.71,2205415.9,2260045.7,2294427.71,0.08644379410907418,0.0,5179.912026138069,68615.0625,0.0008499881426654098,1076720.0850000002,0.6043173887893815,0.6043173887893815,90.52021866794958,2.3961789844893695,5179.912026138069,68615.0625,11761.48,3945.5,17207.71964370298,1.4630573400373916,8.499881426654098e-05,219.58291457286433,2.038068467318331,1202360.0909090908,1164872.9696969697,1.032181295460803,FCFS,Real CTC SP2
1064958.605,1076720.085,1064958.605,5179.912026138069,68615.0625,746318569215.1848,0.8112027171662602,2294833.0,8.499881426654098e-05,99.97118540196365,2352974.0,90.52021866794958,678.0,0.6043173887893815,0.45249843483353047,189,94.5,1.0,99.99914977409497,0,0.0,0.6043173887893815,1.0,0.00018784333319917708,5179.912026138069,2205415.9,2260045.7,2294427.71,2205415.9,2260045.7,2294427.71,0.08644379410907418,0.0,5179.912026138069,68615.0625,0.0008499881426654098,1076720.0850000002,0.6043173887893815,0.6043173887893815,90.52021866794958,2.3961789844893695,5179.912026138069,68615.0625,11761.48,3945.5,17207.71964370298,1.4630573400373916,8.499881426654098e-05,219.58291457286433,2.038068467318331,1202360.0909090908,1164872.9696969697,1.032181295460803,Priority,Real CTC SP2
813371.85,825133.33,337661.995,1592.3385604603782,18469.71875,454818397878.5803,0.8291438316665346,2268767.0,8.499881426654098e-05,99.97118540196365,2352974.0,69.13564280778283,678.0,0.5938093841611035,0.44096931120741395,193,96.5,2.685,99.99771717614944,0,0.0,0.5938093841611035,1.0,0.0001927544890455223,1592.3385604603782,2106981.9,2221057.4499999997,2263732.03,595244.9,613020.7,637952.47,1930.585320760412,7907395.777777778,1592.3385604603782,18469.71875,0.0022822181630566254,825133.3300000001,0.5938093841611035,0.5938093841611035,28.700869197874688,2.114402879692927,1592.3385604603782,18469.71875,11761.48,3945.5,17207.71964370298,1.4630573400373916,8.499881426654098e-05,219.58291457286433,2.038068467318331,366559.63636363635,1575660.378787879,0.23263873439885738,Round Robin,Real CTC SP2
352720.01,364481.49,352720.01,23.61776018807228,90.08888888888889,300123616443.12555,1.553173554684885,2268925.0,8.499881426654098e-05,99.97118540196365,2352974.0,29.98078261808248,678.0,0.294092878338841,0.7172745239205454,114,56.99999999999999,1.0,99.99914977409497,0,0.0,0.294092878338841,1.0,0.00011850248605226714,23.61776018807228,1226918.9999999998,1710703.999999999,2146858.5199999996,1226918.9999999998,1710703.999999999,2146858.5199999996,0.08644379410907418,0.0,23.61776018807228,90.08888888888889,0.0008499881426654098,364481.49,0.294092878338841,0.294092878338841,29.98078261808248,0.6724911985453936,23.61776018807228,90.08888888888889,11761.48,3945.5,17207.71964370298,1.4630573400373916,8.499881426654098e-05,219.58291457286433,2.038068467318331,1806.6818181818182,954638.5606060605,0.001892529688969227,SJF,Real CTC SP2
1064958.605,1076720.085,1064958.605,5179.912026138069,68615.0625,746318569215.1848,0.8112027171662602,2294833.0,8.499881426654098e-05,99.97118540196365,2352974.0,90.52021866794958,678.0,0.6043173887893815,0.45249843483353047,189,94.5,1.0,99.99914977409497,0,0.0,0.6043173887893815,1.0,0.00018784333319917708,5179.912026138069,2205415.9,2260045.7,2294427.71,2205415.9,2260045.7,2294427.71,0.08644379410907418,0.0,5179.912026138069,68615.0625,0.0008499881426654098,1076720.0850000002,0.6043173887893815,0.6043173887893815,90.52021866794958,2.3961789844893695,5179.912026138069,68615.0625,11761.48,3945.5,17207.71964370298,1.4630573400373916,8.499881426654098e-05,219.58291457286433,2.038068467318331,1202360.0909090908,1164872.9696969697,1.032181295460803,Priority (Aging),Real CTC SP2
